p_s,_step,bias,lda_reliance,_runtime,_timestamp,a_s,seed,resnet_reliance
0.6,0,0.9029832281544805,-0.5,11.2109055519104,1715136253.7521076,1,1,0.40298322815448046
0.6,1,0.9652680581808091,-0.5,13.019894361495972,1715136255.5610964,1,42,0.465268058180809
0.6,2,1.08421501191126,-0.5,14.78717589378357,1715136257.328378,1,89,0.5842150119112598
0.6,3,0.939179028649297,-0.5,16.555345058441162,1715136259.0965471,1,23,0.43917902864929703
0.6,4,0.8406043395068911,-0.5,18.334285736083984,1715136260.8754878,1,113,0.34060433950689106
0.6,5,0.8938112212841709,-0.5,21.704962253570557,1715136264.2461643,2,1,0.39381122128417095
0.6,6,0.8906211948560343,-0.5,23.445427656173706,1715136265.9866297,2,42,0.39062119485603436
0.6,7,0.9254282678994867,-0.5,25.19409990310669,1715136267.735302,2,89,0.42542826789948673
0.6,8,0.8740327692321606,-0.5,26.928101062774658,1715136269.4693031,2,23,0.3740327692321605
0.6,9,0.9551593943054064,-0.5,28.69623327255249,1715136271.2374353,2,113,0.45515939430540636
0.6,10,0.9281864745676931,-0.5,32.11337661743164,1715136274.6545787,3,1,0.42818647456769315
0.6,11,0.951758354736699,-0.5,33.868338108062744,1715136276.4095402,3,42,0.451758354736699
0.6,12,0.9232051735122999,-0.5,35.63477396965027,1715136278.175976,3,89,0.42320517351229986
0.6,13,0.8997666748488943,-0.5,37.35452365875244,1715136279.8957257,3,23,0.3997666748488943
0.6,14,0.7860298441516029,-0.5,39.10143709182739,1715136281.6426392,3,113,0.2860298441516029
0.6,15,0.9052889358335071,-0.5,42.334089040756226,1715136284.875291,4,1,0.4052889358335071
0.6,16,1.3634976109448407,-0.5,44.0791552066803,1715136286.6203573,4,42,0.8634976109448407
0.6,17,1.081827886187368,-0.5,45.85687518119812,1715136288.3980772,4,89,0.5818278861873679
0.6,18,1.3526286498498585,-0.5,47.61441254615784,1715136290.1556146,4,23,0.8526286498498585
0.6,19,0.8962398093442122,-0.5,49.39457392692566,1715136291.935776,4,113,0.3962398093442122
